number                   divisors         factorization
1                        1                
2                        2                2
4                        3                2^2
6                        4                2*3
12                       6                2^2*3
24                       8                2^3*3
36                       9                2^2*3^2
48                       10               2^4*3
60                       12               2^2*3*5
120                      16               2^3*3*5
180                      18               2^2*3^2*5
240                      20               2^4*3*5
360                      24               2^3*3^2*5
720                      30               2^4*3^2*5
840                      32               2^3*3*5*7
1.260                     36               2^2*3^2*5*7
1.680                     40               2^4*3*5*7
2.520                     48               2^3*3^2*5*7
5.040                     60               2^4*3^2*5*7
7.560                     64               2^3*3^3*5*7
10.080                    72               2^5*3^2*5*7
15.120                    80               2^4*3^3*5*7
20.160                    84               2^6*3^2*5*7
25.200                    90               2^4*3^2*5^2*7
27.720                    96               2^3*3^2*5*7*11
45.360                    100              2^4*3^4*5*7
50.400                    108              2^5*3^2*5^2*7
55.440                    120              2^4*3^2*5*7*11
83.160                    128              2^3*3^3*5*7*11
110.880                   144              2^5*3^2*5*7*11
166.320                   160              2^4*3^3*5*7*11
221.760                   168              2^6*3^2*5*7*11
277.200                   180              2^4*3^2*5^2*7*11
332.640                   192              2^5*3^3*5*7*11
498.960                   200              2^4*3^4*5*7*11
554.400                   216              2^5*3^2*5^2*7*11
665.280                   224              2^6*3^3*5*7*11
720.720                   240              2^4*3^2*5*7*11*13
1.081.080                  256              2^3*3^3*5*7*11*13
1.441.440                  288              2^5*3^2*5*7*11*13
2.162.160                  320              2^4*3^3*5*7*11*13
2.882.880                  336              2^6*3^2*5*7*11*13
3.603.600                  360              2^4*3^2*5^2*7*11*13
4.324.320                  384              2^5*3^3*5*7*11*13
6.486.480                  400              2^4*3^4*5*7*11*13
7.207.200                  432              2^5*3^2*5^2*7*11*13
8.648.640                  448              2^6*3^3*5*7*11*13
10.810.800                 480              2^4*3^3*5^2*7*11*13
14.414.400                 504              2^6*3^2*5^2*7*11*13
17.297.280                 512              2^7*3^3*5*7*11*13
21.621.600                 576              2^5*3^3*5^2*7*11*13
32.432.400                 600              2^4*3^4*5^2*7*11*13
36.756.720                 640              2^4*3^3*5*7*11*13*17
43.243.200                 672              2^6*3^3*5^2*7*11*13
61.261.200                 720              2^4*3^2*5^2*7*11*13*17
73.513.440                 768              2^5*3^3*5*7*11*13*17
110.270.160                800              2^4*3^4*5*7*11*13*17
122.522.400                864              2^5*3^2*5^2*7*11*13*17
147.026.880                896              2^6*3^3*5*7*11*13*17
183.783.600                960              2^4*3^3*5^2*7*11*13*17
245.044.800                1008             2^6*3^2*5^2*7*11*13*17
294.053.760                1024             2^7*3^3*5*7*11*13*17
367.567.200                1152             2^5*3^3*5^2*7*11*13*17
551.350.800                1200             2^4*3^4*5^2*7*11*13*17
698.377.680                1280             2^4*3^3*5*7*11*13*17*19
735.134.400                1344             2^6*3^3*5^2*7*11*13*17
1.102.701.600               1440             2^5*3^4*5^2*7*11*13*17
1.396.755.360               1536             2^5*3^3*5*7*11*13*17*19
2.095.133.040               1600             2^4*3^4*5*7*11*13*17*19
2.205.403.200               1680             2^6*3^4*5^2*7*11*13*17
2.327.925.600               1728             2^5*3^2*5^2*7*11*13*17*19
2.793.510.720               1792             2^6*3^3*5*7*11*13*17*19
